Subject,BA番号,解剖学的位置,主要機能,Delta波特性,Theta波特性,Alpha波特性,Beta波特性,Gamma波特性,結合パターン,臨床的意義,Error
BA27,BA27,側頭葉の海馬傍回吻側部に位置し、プレサブキュラム（presubiculum）として知られています。その背側部はポストサブキュラム（postsubiculum）とも呼ばれます。海馬傍回形成の一部を構成し、サブキュラムと内側嗅内皮質（entorhinal cortex）の間の移行領域です。,BA27、特にその背側部であるポストサブキュラムは、**空間認知**と**ナビゲーション**において重要な役割を果たします。これは、動物の頭部が特定の方向を向いたときに選択的に発火する**頭部方向細胞**の存在に主に起因します。また、**シーンベースの認知**や空間表現にも関与しています。一部の文献ではBA27を嗅覚に関連する梨状皮質と同一視していますが、ブロードマン領域および海馬形成の文脈では、空間処理における役割がより一般的です。,直接的な言及は見られませんでした。,てんかんラットにおける研究では、プレサブキュラム刺激後に内側嗅内皮質（MEA）の深層および歯状回でシータ波帯域のより遅い振動が時折観察されました。これは病理学的状態に関連する可能性があります。正常な活動における直接的な言及は見られませんでした。,直接的な言及は見られませんでしたが、空間認知に関連する脳活動においてアルファ波の変調が示唆される可能性があります。,てんかんラットにおける研究では、プレサブキュラム刺激後に内側嗅内皮質（MEA）の表層で20-45Hzの振動が観察され、これはベータ波帯域に該当します。これは病理学的状態に関連する可能性があります。,てんかんラットにおける研究では、プレサブキュラム刺激後に内側嗅内皮質（MEA）の表層で20-45Hzの振動が観察され、これは低ガンマ波帯域に該当します。これは病理学的状態に関連する可能性があります。,海馬形成および関連構造と密接に結合しています。内側嗅内皮質（MEA）の特に第III層に投射し、MEA表層の抑制性介在ニューロンにも入力します。ポストサブキュラムは海馬形成への入力構造と見なされ、嗅内皮質に情報を中継します。海馬形成および帯状回皮質から主要な投射を受けます。また、頭部方向細胞信号の処理に関与し、前背側視床核との結合も確立されています。,BA27はアルツハイマー病（AD）とてんかんにおいて臨床的意義が示唆されています。ADにおいては、他の海馬領域と比較して神経変性変化やアミロイド/タウ病理から比較的保護されているという報告がある一方で、穿通路投射の減少やシナプス統合の障害により体積変化が生じ、初期のアミロイドおよびタウ病理と関連する可能性も指摘されています。てんかんにおいては、プレサブキュラム刺激後に内側嗅内皮質で異常な20-45Hzおよびシータ波帯域の振動が観察されており、側頭葉における発作発生または伝播への関与が示唆されています。ポストサブキュラムの病変は、視覚的および非視覚的空間学習の障害を引き起こすことも示されています。,
BA28,BA28,"Brodmann Area 28 (BA28), also known as the area entorhinalis ventralis, is a subdivision of the cerebral cortex located on the medial aspect of the temporal lobe and constitutes a significant part of the entorhinal cortex (EC) [1, 2, 3]. In humans, BA28, along with Brodmann Area 34, collectively forms the entorhinal cortex [1]. It is situated in the mesial temporal lobe and serves as a crucial interface between the hippocampus and the neocortex [3]. Anatomically, it occupies the middle portion of the medial temporal region, including parts of the parahippocampal gyrus and gyrus ambiens [3]. Its boundaries are defined by the rhinal sulcus (anteriorly), the collateral sulcus (laterally), and it merges with the hippocampal formation (dorsomedially) [3]. The EC is organized into six layers, with distinctive features in BA28 including an unusually wide molecular layer (I), an external granular layer (II) containing nests of multipolar cells, and the absence of an internal granular layer (IV) [1]. It is further subdivided into lateral entorhinal cortex (LEC) and medial entorhinal cortex (MEC) [4].","BA28, as part of the entorhinal cortex, plays a pivotal role in memory formation, spatial navigation, and sensory processing [2, 4]. It is essential for forming memories, acting as the primary pathway for sensory information to the hippocampal formation [2, 4]. The LEC is involved in object and contextual memory, while the MEC is specialized for spatial memory [4]. The MEC contains specialized neurons crucial for spatial representation and navigation, including grid cells, head direction cells, border cells, and conjunctive cells [4]. BA28 is also involved in processing the sense of smell, and lesions here can manifest as olfactory hallucinations [5]. It supports working memory, particularly in visuospatial tasks, and contributes to temporal association memory [4].",Delta waves (0.5-4Hz) are typically associated with deep sleep and certain pathological conditions. Independent delta rhythms have been observed in the entorhinal cortex [6]. Increased delta power can be localized in brain regions corresponding to Brodmann areas during certain cognitive conditions [7].,"Theta waves (4-8Hz) activity in the entorhinal cortex is strongly linked to memory processes and spatial navigation [4, 6]. It is particularly involved in day-dreaming and memory encoding [8]. Theta oscillations are a prominent feature of the entorhinal cortex, often seen in conjunction with gamma oscillations [9, 10]. Theta-burst microstimulation of the EC can enhance recognition memory [4].","Alpha waves are generally associated with a relaxed, wakeful state. While not specifically detailed for BA28, alpha waves are known to be related to behavioral inhibition and can be influenced by neurofeedback training [11, 12].","Beta waves are typically associated with active thinking, alertness, and concentration. The entorhinal cortex's activity contributes to overall brain states, but specific beta characteristics for BA28 are not distinctly highlighted in the provided sources.","Gamma oscillations (30-100Hz+) are observed in the entorhinal cortex, often in association with theta rhythms, and are implicated in cognitive function and information processing [4, 9, 10]. Slow gamma stimulation may impair memory encoding [4].","BA28, as the entorhinal cortex, is a major hub for information flow within the limbic system, particularly with the hippocampus and neocortex [3, 4]. It has intrinsic connectivity organized into three rostrocaudal bands (lateral, intermediate, medial) with strong interconnections within each band [4]. It receives afferent inputs from the perirhinal, postrhinal, and parahippocampal cortices, amygdala, thalamus, and olfactory structures, with the amygdala preferentially targeting the lateral EC [4]. It sends efferent projections to all hippocampal subfields (dentate gyrus, CA3, CA2, CA1, subiculum). Layer II neurons project radially, and layer III neurons project transversely. The lateral EC also sends efferents to subcortical structures like the amygdala, olfactory nuclei, and basal ganglia [4]. The hippocampal-entorhinal circuit is fundamental for episodic memory formation and consolidation [13]. Fiber density between the rhinal cortex (including BA28) and activated ventrolateral prefrontal regions predicts episodic memory performance [3].","The entorhinal cortex (BA28) is notably vulnerable in several neurological and psychiatric disorders. In Alzheimer’s Disease (AD), Layer II neurons in the EC are among the earliest affected, with neurofibrillary tangles (NFTs) and tau pathology appearing decades before amyloid-beta (Aβ) deposition. Approximately 30% of EC neurons are lost by the mild cognitive impairment stage, and EC atrophy is a reliable biomarker for disease progression [4]. In Temporal Lobe Epilepsy, the EC exhibits hyperexcitability and interneuron loss, especially in layer III of the medial EC, contributing to seizure generation and propagation. Surgical removal of the EC is often necessary to control drug-resistant limbic seizures [4]. In Schizophrenia and Bipolar Disorder, neuronal migration disturbances, including disorganized and displaced layer II neurons, are observed in schizophrenia. Reduced densities of parvalbumin-positive interneurons and decreased microtubule-associated protein expression have been reported in both disorders, suggesting early neurodevelopmental disruptions affecting EC connectivity [4].",
BA29,BA29,"Brodmann Area 29 (BA29), also known as the granular retrolimbic area 29 or granular retrosplenial cortex, is a narrow band located in the isthmus of the cingulate gyrus. Cytoarchitecturally, it is bounded internally by the ectosplenial area 26 and externally by the agranular retrolimbic area 30. It is part of the retrosplenial cortex (RSC), specifically the granular area (RSCg) in the ventral region.","Brodmann Area 29, as part of the retrosplenial and posterior cingulate cortex, is primarily involved in memory, navigation, and is a component of the brain’s default mode network. Its functions extend beyond location and orientation-related coding in navigation, encompassing mnemonic processing (encoding and retrieval of sequence-based or episodic memories). It plays a role in integrating diverse inputs, shifting and relating perspectives for spatial cognition, and prediction and error correction for current sensory states with internal representations of the environment. These functions contribute to intelligent actions such as navigation, perspective-taking, interaction with others, and error detection.","Specific information on delta wave characteristics for BA29 is not explicitly detailed in the provided sources, but general EEG correlates of spatial orientation and network changes during seizures have been noted in the retrosplenial complex.","Human RSC intracranial EEG power fluctuations in the theta bands have been observed across various tasks, including autobiographical memory, arithmetic, and non-episodic self-referential declarative memory. Theta-phase synchrony has been reported between RSC/posteromedial and MTL areas. In humans, slower 1-5 Hz theta (outside the traditional 4-8 Hz cutoff) has been compared with higher 4-12 Hz theta observed in rodents. The theta rhythm is linked to mechanisms supporting neural plasticity in the hippocampus, with peaks and troughs associated with synaptic potentiation and depression, respectively. RSC spiking and locally generated gamma activity follow similar hippocampal activity patterns within theta cycles.","Specific information on alpha wave characteristics for BA29 is not explicitly detailed in the provided sources, but general EEG correlates of spatial orientation and network changes during seizures have been noted in the retrosplenial complex.","Specific information on beta wave characteristics for BA29 is not explicitly detailed in the provided sources, but general EEG correlates of spatial orientation and network changes during seizures have been noted in the retrosplenial complex.","Human RSC intracranial EEG power fluctuations in the high-gamma bands have been observed across various tasks, including autobiographical memory, arithmetic, and non-episodic self-referential declarative memory. Gamma rhythm patterning and peak spike probabilities in RSC follow corresponding CA1 dynamics, with distinct theta locations for peak low and high gamma amplitudes found at ascending and descending phases.","Brodmann Area 29, as part of the retrosplenial cortex (RSC), is a major hub for interconnectivity among multiple cortical and subcortical brain regions. It has diverse afferent (input) and efferent (output) connections. Afferent sources include the anterior thalamus (ATN), latero-dorsal thalamus (LD), anterior cingulate cortex (ACC), orbitofrontal cortex (OFC), posterior parietal cortex (PPC), primary (V1) and higher-order visual cortices, claustrum (CLA), septal nucleus, subiculum (SUB), pre-subiculum (PrS), post-subiculum (PoS), parasubiculum (PaS), and post-rhinal cortex (PoR). Efferent targets include AT, PrS, PoS, PaS, SUB, medial entorhinal cortex (MEC), PPC, ACC, V1, CLA, and secondary motor cortex (M2). All subregions of the RSC are highly interconnected with each other.","The retrosplenial cortex (including BA29) is implicated in various neurological and psychiatric disorders due to its role in memory, navigation, and the default mode network. Dysfunctions in RSC are associated with conditions affecting spatial memory, episodic memory, and self-referential processing. While specific clinical implications for BA29 are not fully detailed, its involvement in these critical functions suggests its relevance in understanding and potentially treating related disorders.",
BA30,BA30,"In the human, Brodmann Area 30 (BA30) is located in the isthmus of the cingulate gyrus. Cytoarchitecturally, it is bounded internally by the granular retrolimbic area 29, dorsally by the ventral posterior cingulate area 23, and ventrolaterally by the ectorhinal area 36.","Brodmann Area 30, as part of the retrosplenial cortex, is involved in topographical orientation, including navigation in novel and familiar environments. It also plays a crucial role in higher-order cognitive functions like memory and attention.","Delta waves (0.5-4Hz) in the retrosplenial cortex (including BA30) are involved in coordinating communications among cortical, hippocampal, and thalamic regions. They are critical for memory consolidation, with the retrosplenial cortex facilitating slow wave propagation to other brain regions. Delta waves are also an integral part of REM sleep.","Theta waves (4-8Hz) in the retrosplenial cortex (RSC), which includes BA30, show significantly higher power during paradoxical sleep (PS, also known as REM sleep) compared to active waking. There is strong and specific phase-amplitude coupling between hippocampal theta and gamma oscillations in the RSC during PS. Neuronal discharge in the RSC increases just after the peak of hippocampal theta waves, indicating enhanced spiking in synchrony with theta during PS. Theta oscillations in the RSC are crucial for spatial memory and navigation, and are involved in hippocampal-dependent memory trace formation.","Alpha waves (8-13Hz) in the retrosplenial cortex (RSC), which includes BA30, are associated with relaxed wakefulness. Increasing retrosplenial alpha oscillation and decreasing hippocampocortical synchrony with memory age may signify a shift in memory processing. Alpha rhythms can act as an internal dynamic filter, adjusting in amplitude, phase, and frequency in response to cognitive demands, and are thought to have an inhibitory function, protecting new memories by inhibiting further sensory processing.","Beta waves (13-30Hz) in the retrosplenial cortex (RSC), including BA30, are characterized by 'β Bursting'. These bursts are associated with increased neuronal spiking and are strongly upregulated during spatial learning and memory processes. Beta oscillations in the RSC play a significant role in the formation, recall, and consolidation of contextual memory, and are involved in distinguishing environmental context. They are also functionally disrupted in the early stages of Alzheimer's disease.","Gamma waves (30-100Hz+) in the retrosplenial cortex (RSC), including BA30, are involved in various cognitive processes. High-frequency oscillations (HFOs; ~150 Hz) are generated in granular retrosplenial cortex layer 2/3 and can be driven by a hippocampus-subiculum pathway. These HFOs are coupled with hippocampal theta and gamma oscillations in online states or sharp-wave ripples. Gamma rhythms in the RSC are also associated with rapid interhemispheric communication and coordinate information transfer between brain structures involved in memory. Phase-amplitude coupling between hippocampal theta and gamma oscillations strongly and specifically increases in the RSC during paradoxical sleep.","Brodmann Area 30 (BA30), as part of the retrosplenial cortex (RSC), demonstrates projections to the mid-dorsolateral prefrontal cortex (Brodmann areas 46 and 9) and the thalamus. Approximately 20% of cortical inputs to the entorhinal cortex arise from the retrosplenial cortex. The RSC is heavily interconnected with an array of brain networks, both cortical and subcortical.","Lesions to Brodmann Area 30 (BA30), as part of the retrosplenial cortex (RSC), lead to dysfunction in topographical orientation, including defective navigation in novel and familiar environments. The RSC is implicated in neuropsychiatric and neurodegenerative disorders. It is functionally disrupted in the early stages of Alzheimer's disease, with functional connectivity changes in BA30 observed in this condition. Changes in resting cerebral activities, including BA30, have also been noted in subacute ischemic stroke patients.",
BA31,BA31,"Brodmann area 31, also known as dorsal posterior cingulate area 31, is a subdivision of the cytoarchitecturally defined cingulate region of the cerebral cortex. In the human, it occupies portions of the posterior cingulate gyrus and medial aspect of the parietal lobe. Approximate boundaries are the cingulate sulcus dorsally and the parieto-occipital sulcus caudally. It partially surrounds the subparietal sulcus, the ventral continuation of the cingulate sulcus in the parietal lobe. It is bounded rostrally by the ventral anterior cingulate area 24, ventrally by the ventral posterior cingulate area 23, dorsally by the gigantopyramidal area 4 and preparietal area 5 and caudally by the superior parietal area 7 (H) [3]. It is also described as the dorsal posterior cingulate cortex [4].","Involved in self-referential thought, memory, and spatial awareness [9]. Also, signal extraction from background noise, and activated when familiar stimuli are encountered [10]. It plays a big role in emotion and memory, navigation, and the brain's default mode network [7].",Significant activity in the PCC (including BA31) during eyes-closed state [1]. Deep brain activity in the PCC analyzed in this band [2].,Significant activity in the PCC (including BA31) during eyes-closed state [1]. Deep brain activity in the PCC analyzed in this band [2].,"Significant activity in the PCC (including BA31) during eyes-closed state [1, 2]. Deep brain activity in the PCC analyzed in this band [2].",Significant activity in the PCC (including BA31) during eyes-closed state [1]. Elevated EEG functional connectivity in the beta-3 band (25-30 Hz) between PCC and sgPFC in remitted depressed patients [5].,"Low gamma band activity in the PCC (including BA31) during eyes-closed state [1]. Stimulation of PCC impairs recall memory, with impairment predicted by stimulation-induced hippocampal gamma [8].","Brodmann Area 31 is part of the limbic system, playing a big role in emotion and memory. It is also part of the retrosplenial and posterior cingulate cortex, involved in memory, navigation, and the brain's default mode network [7].","Dyslexics show main activity in Brodmann's area 31 (posterior cingulate cortex), while controls exhibit main activity in retrosplenial cortex (Brodmann's area 30). This suggests a role for the posterior cingulate cortex in the pre-attentive processing operation of dyslexia beyond its traditional function in terms of spatial attention and motor intention [6].",
BA32,32,Brodmann area 32 (BA32) は、ヒトの脳では背側前帯状野32として知られ、細胞構築学的に定義された帯状皮質の一部である。前帯状回を囲む外側の弧を形成する。帯状溝が内側の境界を、上吻側溝が腹側の境界をほぼ画定し、吻側では前頭葉の縁まで広がる。内部的には腹側前帯状野24、外部的には無顆粒前頭野6、中間前頭野8、顆粒前頭野9、前頭極野10、前頭前野11の各内側縁に接する。,背側前帯状回は、合理的な思考プロセス、特にストループ課題中に活発になることと関連している。記憶制御の必要性を検出し、不都合な内容に関する早期警告信号に積極的に反応する。,デルタ波（0.5-4Hz）は、深い睡眠時に主に観察されるが、覚醒時の精神課題（計算、意味課題、Sternbergパラダイムなど）中に前頭部で増加することが報告されている。これは、課題遂行を妨げる干渉を抑制し、非活動であるべきネットワークの活動を調節することで、内部集中を助ける機能的皮質求心路遮断または抑制と関連している可能性がある。,シータ波（4-8Hz）は、前帯状皮質（BA32を含む）において認知制御、課題ルール、および注意と関連している。特に、ACCの神経回路におけるリズミカルなシータ帯域活動が認知制御の核心的側面を符号化することが報告されている。また、うつ病と性別がrACCのシータ活動に影響を与える傾向が示されており、抗うつ剤治療への反応者には前頭皮質およびrACCの低シータ活動が見られる。,アルファ波（8-13Hz）は、皮質活動と逆相関があり、右前頭皮質活動の増加は負の情報や感情の処理中に現れる傾向がある。一方、左前頭皮質活動の増加は正の情報や感情処理と関連している。うつ病患者では、全体的な前頭および頭頂アルファ波パワーの増加と左中前頭部の活動低下が見られる。,ベータ波（13-30Hz）は、前帯状皮質（ACC）において報酬予測、選択バイアスの大きさ、および報酬受領と関連している。また、注意および高齢者の視覚パフォーマンスにおける注意欠陥と関連がある。,ガンマ波（30-100Hz以上）は、前帯状皮質（ACC）において、学習、記憶、注意、情報処理などの認知機能と関連している。帯状回てんかんにおけるデフォルトモードネットワークで重要な役割を果たす可能性があり、適応的および安定的な行動期間中に高ガンマ活動の協調が見られる。,BA32を含む前帯状皮質（ACC）は、情報処理と調節の中心的な役割を果たす。長期記憶における新皮質表象領域と関連しており、記憶固定に重要な役割を果たす。また、眼窩前頭皮質や扁桃体からの情報を受け取り、注意と感情調節に関与している。うつ病患者では、ACCの機能的結合の変化が観察される。,BA32を含む前帯状皮質（ACC）は、感情と理性のバランスをとり、感情の均衡を維持する上で重要な役割を果たす。うつ病などの気分障害において、ACCの活動変化や機能的結合の異常が観察される。例えば、うつ病患者ではACCのシータ活動の変調が見られ、抗うつ剤治療への反応と関連する。また、慢性ストレスによる灰白質減少の主要な焦点となる可能性も指摘されている。,
BA33,BA33,"Brodmann area 33 (BA33), also known as pregenual area 33, is a subdivision of the cytoarchitecturally defined cingulate region of the cerebral cortex. It is a narrow band located in the anterior cingulate gyrus adjacent to the supracallosal gyrus in the depth of the callosal sulcus, near the genu of the corpus callosum. Cytoarchitecturally it is bounded by the ventral anterior cingulate area 24 and the supracallosal gyrus.","Heavily involved in emotions, especially happy emotions. It is part of the limbic system, which plays a significant role in emotion and memory. It is closely connected through neural pathways with other limbic system areas (BA23, BA24, BA28) that support emotional responses and memory functions. It contributes to emotional regulation, motivation, error detection, and control of automatic bodily functions like heart rate.","Delta waves are the slowest brainwaves and are most prominent during deep, dreamless sleep and unconsciousness. They are generally associated with deep sleep and restorative processes.","Higher theta activity within the anterior cingulate cortex is often interpreted as an electrophysiological manifestation of higher cognitive load or emotional processing. Increased theta activity in the pregenual anterior cingulate cortex is associated with tinnitus onset. Theta waves are generally associated with relaxation, meditation, and creativity.",Reduced alpha connectivity between BA32 and BA33 in conditions like Alzheimer's disease and mild cognitive impairment. Alpha1 activity can be generated in anterior (BA33) cingulate cortex.,"Increased high beta brain oscillations are associated with the presence of pain. Beta waves are generally associated with active, busy, or anxious thinking and active concentration.","Gamma waves are associated with strong mental activities such as studying and solving problems, and higher-order cognitive functions.","Area 33prime (a subregion of BA33) is connected to areas IFSa, IFJa, and p9-46v in the lateral frontal lobe, areas a24prime and p24prime in the medial frontal lobe, areas TE1p and PHT in the temporal lobe, and areas IP1 and IP2 in the parietal lobe. It is structurally connected to the cingulum. Fibers project anteriorly above the corpus callosum to end at a24, p32, and 10r. Anterior fibers also curve around the rostrum of the corpus callosum to end at 25. Posterior cingulum fibers terminate at the precuneus to end at areas 7m and v23ab. Posterior fibers also curve around the splenium of the corpus callosum to end at the RSC. The pregenual anterior cingulate cortex has onward effective connectivity directed to the hippocampal system, both directly and via the subiculum.","Involved in emotional regulation, attention, and pain processing. Aberrant subgenual cingulate-dorsolateral prefrontal connectivity, particularly reduced alpha connectivity, may serve as an electrophysiological marker for depression. Increased theta activity in the pregenual anterior cingulate cortex is associated with tinnitus onset. Deep brain stimulation (DBS) of the subgenual cingulate gyrus (which includes BA33) is beneficial in treatment-resistant depression.",
BA34,BA34,Part of the entorhinal area and the superior temporal gyrus. The entorhinal area is located in the medial temporal lobe.,"Main interface between the hippocampus and neocortex, involved in memory, navigation, and the perception of time. Destruction of BA34 results in ipsilateral anosmia.",The entorhinal cortex generates delta activity. Delta oscillations in the temporoammonic pathway neurons (part of EC) are generated via hyperpolarization-activated cyclic-nucleotide-gated (HCN) channels during sleep. These delta oscillations are critical for memory consolidation; their blockade significantly impairs hippocampus-dependent memory consolidation.,"The power of theta oscillations (4–8 Hz) in the human entorhinal cortex exhibits 6-fold rotational modulation by movement direction during spatial navigation. This modulation is specific to 6-fold rotational symmetry and the entorhinal cortex, emerging during fast movements and stabilizing over the experiment.","In the entorhinal cortex, the local alpha pacemaking role may be taken by supragranular pyramidal neurons. Alpha oscillations (8-13 Hz) are part of the theta/alpha band activity (2-12 Hz) commonly observed in the human medial temporal lobe, which includes the entorhinal cortex.","In the entorhinal cortex, coherent activity in the beta frequency band (35-40 Hz) can be observed between the entorhinal cortex and the olfactory bulb/prepiriform cortex. This coupling is strong between the prepiriform cortex and the rostral part of the EC, decreasing towards more lateral, caudal, and medial areas. Beta activity is locally generated in layer II of the EC.","Gamma oscillations (40–100 Hz) occur within the superficial layers (I–III) of the entorhinal cortex, increasing in amplitude and regularity in association with entorhinal theta waves. These oscillations reflect synchronized synaptic potentials impinging on layer II–III neurons. They are coupled with theta and gamma oscillations in the dentate hilar region. Layer II–III neurons discharge in temporally defined gamma windows (∼10–25 msec) coupled to the theta cycle, which is essential for effective neuronal communication and synaptic plasticity in the perforant pathway.","Brodmann Area 34 is part of the entorhinal cortex (EC). The EC has intricate connections with the hippocampus and a vast array of neocortical areas. The medial entorhinal cortex (MEC) is more strongly connected with the presubiculum and retrosplenial cortex (RSC), while the lateral entorhinal cortex (LEC) is more strongly connected with distal CA1 and proximal subiculum (dCA1pSub) and lateral orbitofrontal cortex (OFC).","The entorhinal cortex (EC), which includes BA34, is a critical brain region affected in the early phases of Alzheimer's disease (AD). It is considered one of the earliest regions affected by AD-associated pathology. The dorsal entorhinal cortex (Brodmann area 34) has been identified as having a high discriminative weight in classifying AD patients from healthy controls, often showing patterns of hypometabolism/atrophy in AD.",
BA35,BA35,"BA35, along with BA36, comprises the perirhinal cortex. It is a cytoarchitecturally defined temporal region of the cerebral cortex, located along the rhinal sulcus in the human brain. Medially, it is bounded by entorhinal area 28, and laterally by ectorhinal area 36.",The perirhinal cortex (including BA35) is a multimodal area important for normal memory function and involved in complex conjunctive representations of visual information.,"The slow sleep oscillation (0.5-1 Hz), pervasive in the neocortex, is present in the perirhinal cortex, though its temporal relation to the neocortical oscillation is highly variable.","During waking and paradoxical sleep, multiple simultaneously recorded entorhinal and perirhinal sites display a highly correlated oscillation in the theta range. Perirhinal cells show a statistically significant theta-related modulation of their spontaneous activity, albeit weaker than in the entorhinal cortex.","Increased coherence in the alpha band (8-12 Hz) has been observed between the hippocampus and perirhinal cortex, suggesting its involvement in memory processes, specifically in item recognition (IR) or source recognition (SR) decoupling.","Specific characteristics for BA35 are not explicitly detailed, but general beta oscillations in the hippocampus are suggested to have dual roles in sensory- and memory-guided behaviors.","Gamma oscillations coordinate amygdalo-rhinal interactions during learning, indicating their presence and role in memory formation and inter-regional communication within the perirhinal cortex and lateral amygdala.","The perirhinal cortex is more closely related to the entorhino-hippocampal system than to the neocortex in terms of spontaneous EEG rhythms. High correlation is found between perirhinal and entorhinal electroencephalographic activities in all behavioral states. The perirhinal cortex has heavy connections with the amygdala, the hippocampus (mainly indirectly via the entorhinal cortex), the striatum, and with various sensory cortices. Enhanced connectivity between the perirhinal cortex and hippocampus is associated with behavioral markers of memory. BA35 is highly connected to other regions, and disrupted functional connectivity between the perirhinal cortex and other regions is observed in MCI and AD.","The perirhinal cortex (PrC), including BA35, is among the first brain areas to deteriorate in Alzheimer's disease (AD). BA35 approximates the transentorhinal region, which is the first supratentorial brain region affected by neurofibrillary tangle pathology in AD. The largest reduction in thickness associated with aMCI (amnestic Mild Cognitive Impairment) was found in left BA35. Tau pathology in BA35 is negatively associated with cognitive decline, suggesting a complex role in disease progression.",
BA36,BA36,"Brodmann area 36, together with Brodmann area 35, comprise the perirhinal cortex. It is cytoarchitecturally defined as a temporal region of the cerebral cortex. In humans, it is located primarily in the fusiform gyrus, with its medial boundary corresponding approximately to the rhinal sulcus. Cytoarchitecturally, it is bounded laterally and caudally by the inferior temporal area 20, medially by area 35, and rostrally by the temporopolar area 38.","Its function is part of the formation/consolidation and retrieval of declarative/hippocampal memory, including for faces. There is also evidence that area 36 may be associated with emotion regulation.","The slow sleep oscillation (0.5-1 Hz), pervasive in the neocortex, was present in the perirhinal cortex, though its temporal relation to the neocortical oscillation was highly variable.","During waking and paradoxical sleep, multiple simultaneously recorded entorhinal and perirhinal sites displayed an oscillation in the theta range which was highly correlated. Perirhinal cells showed a statistically significant theta-related modulation of their spontaneous activity, albeit weaker than in the entorhinal cortex.",Neocortical sleep spindles (typically 11-16 Hz) were absent from the perirhinal cortex.,"No specific mention of Beta wave characteristics in the abstract, but the absence of sleep spindles (which overlap with lower Beta) is noted.",No specific mention of Gamma wave characteristics in the abstract.,"Part of the perirhinal cortex, connected with BA35. Bounded laterally and caudally by inferior temporal area 20, medially by area 35, and rostrally by temporopolar area 38.","Brodmann Area 36 (BA36) is implicated in several clinical conditions, particularly neurodegenerative diseases. It experiences significant perfusion impairments in early Alzheimer's Disease (AD). Atrophy of BA36 has been shown to differentiate age-related subjective memory decline from cognitively normal older adults and is associated with reduced neuronal pentraxin-2 (NPTX2), a marker of synaptic integrity that is diminished in AD. Furthermore, tau burden in BA36 is linked to pathological changes that vary with age, and at later Braak stages of AD, tau pathology is observed to spread into this region. Abnormalities in the perirhinal cortex, which includes BA36, may also disrupt hippocampal function, leading to impaired learning and memory, as observed in genetic models of Autism Spectrum Disorder (ASD).",
BA37,BA37,"Brodmann Area 37 (BA37), also known as occipitotemporal area 37 (H), is a subdivision of the cytoarchitecturally defined temporal region of the cerebral cortex. It is located primarily in the caudal portions of the fusiform gyrus and inferior temporal gyrus on the mediobasal and lateral surfaces at the caudal extreme of the temporal lobe. It is bounded caudally by Brodmann area 19, rostrally by inferior temporal area 20 and middle temporal area 21, and dorsally by angular area 39.","BA37 plays a crucial role in facial recognition, complex visual processing, object naming, and recognition memory. It is involved in phonological retrieval, semantic processing, and is a common node for visual recognition and semantic language functions. It also contributes to deductive reasoning and visuomotor orientation.","Delta wave activity in BA37 has been observed to increase during non-dreaming sleep. Studies also indicate that 2-4 Hz delta power can be found in BA37, and changes in delta frequency characteristics are noted in dementia patients.","Theta wave activity in BA37 is generally associated with memory processing and navigation. Studies suggest that theta activity can be observed in BA37, and changes in theta coherence in frontal regions are linked to executive functions. Theta waves become more widespread in the evening and are associated with slower reaction times.","BA37 (fusiform gyrus) shows significant changes in alpha-rhythm intensity, particularly in the T6 electrode area. Alpha activity is also associated with visual processing and can be increased by motion-sensitive visual processes.","Beta waves in BA37 are generally associated with active mental states and cognitive processing. While specific details for BA37 are limited, beta activity is often observed during focused attention and problem-solving, which aligns with BA37's role in complex visual and semantic processing.","Gamma waves in BA37 are associated with higher-order cognitive functions, such as face processing and object recognition. Intracranial EEG studies in the fusiform gyrus (part of BA37) show face-selective spectral changes, indicating gamma band activity during face perception. Gamma activity is generally linked to strong mental activities like studying and problem-solving.","BA37 is a common node of two distinct networks: visual recognition (perception) and semantic language functions. It shows significant connections with the left visual association area (BA19) and other parts of the temporal lobe (BA20, BA21, BA22, BA39). Its connectivity with the parahippocampal gyrus suggests involvement in memory processing. It is also part of a complex brain network for deductive reasoning, including BA21/22/24/32/37/45/46/47.","BA37 is characterized by significant hypoperfusion and neurofibrillary tangle (NFT) pathology in clinical disorders like Alzheimer's disease. Lesions in the fusiform gyrus (part of BA37) can result in visual agnosia for objects, prosopagnosia (inability to recognize faces), and pure alexia (inability to read). It is also implicated in neurological phenomena such as synesthesia, dyslexia, and memory loss in aging and dementia. Restoring blood flow to BA37 is critical for helping patients regain naming abilities.",
